,index,ID,Species,Model_name,Reference,Trait,Latitude,Longitude,Kingdom,Phylum,Class,Order,Family,Genus,B0,B0_stderr,E,E stderr,T_pk,T_pk.stderr,E_D ,E_D.stderr,E_D_L,E_D_L stderr,Est.Tpk,Est.Tmin,Est.Tmax,Max response,Donor,Acceptor,R_Squared,AIC,BIC,Plotted,Temp_Vals,Trait_Vals
10,1102,392,Acetobacterium bakii ,schoolfield two factor,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,0.570408294,0,0.167003316,0,357.8036789,0,2.442346869,0,NA,NA,NA,NA,NA,NA,,,0.984778313,-6.434640093,-8.387450531,TRUE,[ 274.142  278.206  283.218  288.242  293.196],[ 1.84896  2.03904  2.18592  2.56608  2.90304]
11,1103,392,Acetobacterium bakii ,schoolfield simple,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,1.262686828,2401.077394,0.167092966,265.5700526,NA,NA,0.000179565,518.1758601,NA,NA,NA,NA,NA,NA,,,0.984778303,-6.434639055,-8.387449493,FALSE,[ 274.142  278.206  283.218  288.242  293.196],[ 1.84896  2.03904  2.18592  2.56608  2.90304]
12,1122,401,Acetobacterium carbinolicum ,schoolfield two factor,"Paarup, M et al (2006) Characterization of the psychrotolerant acetogen strain SyrA5 and the emended description of the species Acetobacterium carbinolicum. Antonie va Leewenhoek 89, 55-69",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-3.28096165,0.59978886,1.044870653,1.029447329,381.17593,263873.4071,1.045063928,3.283658404,NA,NA,NA,NA,NA,NA,,,0.992930496,-16.55985411,-17.60105676,FALSE,[ 274.985  277.667  283.112  288.39   293.425  298.476],[ 0.013824  0.050976  0.19008   0.356832  0.546912  0.9072  ]
13,1123,401,Acetobacterium carbinolicum ,schoolfield simple,"Paarup, M et al (2006) Characterization of the psychrotolerant acetogen strain SyrA5 and the emended description of the species Acetobacterium carbinolicum. Antonie va Leewenhoek 89, 55-69",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-3.238625733,0.522495742,1.062485058,1.296347712,NA,NA,0.8915743,2.227482406,NA,NA,NA,NA,NA,NA,,,0.993341968,-16.87844644,-17.91964909,FALSE,[ 274.985  277.667  283.112  288.39   293.425  298.476],[ 0.013824  0.050976  0.19008   0.356832  0.546912  0.9072  ]
14,1124,401,Acetobacterium carbinolicum ,schoolfield,"Paarup, M et al (2006) Characterization of the psychrotolerant acetogen strain SyrA5 and the emended description of the species Acetobacterium carbinolicum. Antonie va Leewenhoek 89, 55-69",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-1.962488602,inf,0.708511786,inf,NA,NA,7.44E-05,inf,-3.82794731,inf,NA,NA,NA,NA,,,0.999265574,-26.30726739,-27.7649511,TRUE,[ 274.985  277.667  283.112  288.39   293.425  298.476],[ 0.013824  0.050976  0.19008   0.356832  0.546912  0.9072  ]
15,1106,394,Acetobacterium fimetarium ,schoolfield two factor,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-1.277208886,0.257405621,0.621944324,0.101487662,302.8872562,9079.648694,21.05338867,1987372.009,NA,NA,302.927,298.927,303.927,3.618282765,,,0.992309871,-2.650309802,-2.920759057,FALSE,[ 274.227  278.19   283.214  288.226  293.195  298.209  303.185],[ 0.480384  0.552096  0.672192  0.95904   1.67616   2.61792   3.57696 ]
16,1107,394,Acetobacterium fimetarium ,schoolfield simple,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-1.277208898,0.257442157,0.62194432,0.101509659,NA,NA,23.23108617,7674188.566,NA,NA,302.927,298.927,303.827,3.626391643,,,0.992309864,-2.650311705,-2.920760959,TRUE,[ 274.227  278.19   283.214  288.226  293.195  298.209  303.185],[ 0.480384  0.552096  0.672192  0.95904   1.67616   2.61792   3.57696 ]
17,1108,394,Acetobacterium fimetarium ,schoolfield,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-0.584058369,628.000714,0.621942354,268.3505194,NA,NA,16.10724391,472106.4228,-6.55E-06,350.7809428,302.927,298.827,304.227,3.597711265,,,0.992309664,1.349750828,0.971121871,FALSE,[ 274.227  278.19   283.214  288.226  293.195  298.209  303.185],[ 0.480384  0.552096  0.672192  0.95904   1.67616   2.61792   3.57696 ]
18,1104,393,Acetobacterium paludosum ,schoolfield two factor,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,0.073914738,0,0.509454471,0,319.2608469,0,11.44925307,0,NA,NA,NA,NA,NA,NA,,,0.983671625,6.29436428,4.341553843,TRUE,[ 274.186  278.24   283.185  288.179  293.284],[ 0.98496  1.70208  2.54016  3.11904  4.80384]
19,1105,393,Acetobacterium paludosum ,schoolfield simple,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,0.073914786,0.233461409,0.509454444,0.127706491,NA,NA,7.041110025,,NA,NA,NA,NA,NA,NA,,,0.983671625,6.29436428,4.341553843,FALSE,[ 274.186  278.24   283.185  288.179  293.284],[ 0.98496  1.70208  2.54016  3.11904  4.80384]
20,1109,395,Acetobacterium tundrae ,schoolfield two factor,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-3.186392344,0,1.409224256,0,300.3393719,0,34.33446603,0,NA,NA,300.33,298.53,300.93,8.934392058,,,0.999132752,-15.03837042,-18.10689861,TRUE,[ 274.23   278.127  283.181  288.147],[ 0.071712  0.120096  0.336096  0.93312 ]
21,1110,395,Acetobacterium tundrae ,schoolfield simple,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-3.186392453,0,1.409224308,0,NA,NA,169.2470906,0,NA,NA,NA,NA,NA,NA,,,0.999132753,-15.03837042,-18.10689861,FALSE,[ 274.23   278.127  283.181  288.147],[ 0.071712  0.120096  0.336096  0.93312 ]
22,1118,399,Acetobacterium tundrae ,schoolfield two factor,"2000, Maria V. Simankova and Oleg R. Kotsyurbenko and Erko Stackebrandt and Nadezhda A. Kostrikina and Anatoliy M. Lysenko and Georgiy A. Osipov and Alla N. Nozhevnikova, 'Acetobacterium tundrae sp. nov., a new psychrophilic acetogenic bacterium from tundra soil'. Archives of Microbiology, 174(6),pp440-447",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-1.659449907,6.248971751,0.59736967,3.666298976,423.1495038,341581.278,0.598957357,23.98083634,NA,NA,NA,NA,NA,NA,,,0.975089939,-8.472144447,-10.42495488,FALSE,[ 274.08   278.109  283.15   288.118  293.18 ],[ 0.144288  0.336096  0.432     0.576288  0.864   ]
23,1119,399,Acetobacterium tundrae ,schoolfield simple,"2000, Maria V. Simankova and Oleg R. Kotsyurbenko and Erko Stackebrandt and Nadezhda A. Kostrikina and Anatoliy M. Lysenko and Georgiy A. Osipov and Alla N. Nozhevnikova, 'Acetobacterium tundrae sp. nov., a new psychrophilic acetogenic bacterium from tundra soil'. Archives of Microbiology, 174(6),pp440-447",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-1.464521761,28.97271516,0.68932261,9.579044324,NA,NA,0.431060466,6.458880457,NA,NA,NA,NA,NA,NA,,,0.97561281,-8.578759643,-10.53157008,TRUE,[ 274.08   278.109  283.15   288.118  293.18 ],[ 0.144288  0.336096  0.432     0.576288  0.864   ]
24,399,140,Acetogenium kivui,schoolfield two factor,"1981, Leigh J.H. et al, 'Acetogenium kivui, a New Thermophilic Hydrogen-Oxidizing, Acetogenic Bacterium', Arch Microbiol, 129 (275-280)",Specific Growth Rate,-2.34,29.11,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,-6.68316027,1.774652187,1.069768549,0.228884413,339.5444465,0.639608491,7.519049101,1.94889486,NA,NA,339.5735,335.5735,341.9735,7.748514725,Hydrogen,Oxygen,0.959317258,21.90043879,22.2976465,FALSE,"[ 323.4735  327.2327  331.2536  334.2746  337.2644  340.4751  342.9226
  345.9495]","[ 0.702432  2.3328    4.11264   5.0112    7.0848    6.98976   4.74336
  0.071712]"
25,400,140,Acetogenium kivui,schoolfield simple,"1981, Leigh J.H. et al, 'Acetogenium kivui, a New Thermophilic Hydrogen-Oxidizing, Acetogenic Bacterium', Arch Microbiol, 129 (275-280)",Specific Growth Rate,-2.34,29.11,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,-6.683015546,1.774584924,1.069748956,0.228876568,NA,NA,7.519370786,1.948988691,NA,NA,339.5735,335.5735,341.9735,7.748537081,Hydrogen,Oxygen,0.959317044,21.9004388,22.29764651,FALSE,"[ 323.4735  327.2327  331.2536  334.2746  337.2644  340.4751  342.9226
  345.9495]","[ 0.702432  2.3328    4.11264   5.0112    7.0848    6.98976   4.74336
  0.071712]"
26,401,140,Acetogenium kivui,schoolfield,"1981, Leigh J.H. et al, 'Acetogenium kivui, a New Thermophilic Hydrogen-Oxidizing, Acetogenic Bacterium', Arch Microbiol, 129 (275-280)",Specific Growth Rate,-2.34,29.11,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,2.09061633,1.248576355,2.62E-08,0.204634987,NA,NA,14.07235915,10.34506839,-2.398104893,0.989747579,340.3735,334.0735,342.6735,7.187926844,Hydrogen,Oxygen,0.987081453,16.45796289,17.01405368,TRUE,"[ 323.4735  327.2327  331.2536  334.2746  337.2644  340.4751  342.9226
  345.9495]","[ 0.702432  2.3328    4.11264   5.0112    7.0848    6.98976   4.74336
  0.071712]"
27,1133,405,Acetogenium kivui ,schoolfield two factor,"Leigh, JA et al (1981) Acetogenium kivui, a New Thermophilic Hydrogen-Oxidizing, Acetogenic Bacterium. Arch Microbiol 129, 275-280",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,-13.68176433,24.75985636,2.092304992,3.841449579,372.7419637,32507.30651,2.093179998,1.637393356,NA,NA,NA,NA,NA,NA,,,0.982529649,11.95480291,10.00199247,TRUE,[ 323.462  327.133  331.07   334.048  337.107],[ 0.696384  2.30688   4.17312   5.06304   7.128   ]
28,1134,405,Acetogenium kivui ,schoolfield simple,"Leigh, JA et al (1981) Acetogenium kivui, a New Thermophilic Hydrogen-Oxidizing, Acetogenic Bacterium. Arch Microbiol 129, 275-280",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,-11.05863634,21.85958387,1.700847324,3.394329628,NA,NA,2.042928211,6.989326955,NA,NA,344.962,336.462,352.062,8.975425225,,,0.980053127,12.63338298,10.68057255,FALSE,[ 323.462  327.133  331.07   334.048  337.107],[ 0.696384  2.30688   4.17312   5.06304   7.128   ]
29,198,68,Acidianus brierleyi,schoolfield two factor,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",Time To Increase SO4 to 3000mg/L,44.42,-110.58,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,-7.820955494,0.427974713,0.666948388,0.054394331,349.4836531,0.607377665,3.430124536,0.585067895,NA,NA,349.4493,342.0493,354.7493,0.157192623,,Sulfur,0.973502461,-122.9276537,-118.2054588,TRUE,"[ 315.1493  316.4929  317.9479  319.0674  320.7451  321.8616  323.5406
  326.9005  328.5782  330.9303  332.3833  334.1754  335.5144  338.0932
  340.1032  345.3609  350.0686  352.4175  356.1292]","[ 0.0134784  0.0150336  0.017712   0.0193536  0.0253152  0.0343008
  0.0386208  0.0424224  0.050976   0.0533952  0.0650592  0.0672192
  0.087264   0.0808704  0.108      0.148608   0.139104   0.15984    0.093312 ]"
30,199,68,Acidianus brierleyi,schoolfield simple,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",Time To Increase SO4 to 3000mg/L,44.42,-110.58,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,-7.820864792,0.427904676,0.666936091,0.05438564,NA,NA,3.430301868,0.585253202,NA,NA,349.4493,342.0493,354.7493,0.157193325,,Sulfur,0.973502476,-122.9276536,-118.2054588,FALSE,"[ 315.1493  316.4929  317.9479  319.0674  320.7451  321.8616  323.5406
  326.9005  328.5782  330.9303  332.3833  334.1754  335.5144  338.0932
  340.1032  345.3609  350.0686  352.4175  356.1292]","[ 0.0134784  0.0150336  0.017712   0.0193536  0.0253152  0.0343008
  0.0386208  0.0424224  0.050976   0.0533952  0.0650592  0.0672192
  0.087264   0.0808704  0.108      0.148608   0.139104   0.15984    0.093312 ]"
31,200,68,Acidianus brierleyi,schoolfield,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",Time To Increase SO4 to 3000mg/L,44.42,-110.58,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,-1.563116425,0.257720409,7.48E-09,0.019653912,NA,NA,31.31023621,15315.53704,-0.97157745,0.156734898,354.4493,343.9493,355.8493,0.164629464,,Sulfur,0.977163866,-121.7773601,-115.1662873,FALSE,"[ 315.1493  316.4929  317.9479  319.0674  320.7451  321.8616  323.5406
  326.9005  328.5782  330.9303  332.3833  334.1754  335.5144  338.0932
  340.1032  345.3609  350.0686  352.4175  356.1292]","[ 0.0134784  0.0150336  0.017712   0.0193536  0.0253152  0.0343008
  0.0386208  0.0424224  0.050976   0.0533952  0.0650592  0.0672192
  0.087264   0.0808704  0.108      0.148608   0.139104   0.15984    0.093312 ]"
32,201,69,Acidianus brierleyi,schoolfield two factor,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",Time To Double Fe3+ concentration,,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,-17.49822974,5.437689696,2.239537123,0.686909052,342.4489573,0.91288468,4.196550402,0.487364107,NA,NA,342.4557,338.7557,346.3557,2.682383941,Ferrous Iron,Oxygen,0.884774382,16.65222243,19.84750908,FALSE,"[ 325.2557  328.2494  329.8018  331.0187  333.1265  335.4484  336.9771
  338.9705  341.519   343.5166  346.7357  348.9573  350.529   353.5382]","[ 0.274752  0.29808   0.304128  0.400032  0.38016   0.648     2.05632
  2.28096   2.4624    2.36736   2.14272   1.88352   0.758592  0.234144]"
33,202,69,Acidianus brierleyi,schoolfield simple,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",Time To Double Fe3+ concentration,,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,-17.49093498,5.432482676,2.238602822,0.686259654,NA,NA,4.196414226,0.487359971,NA,NA,342.4557,338.7557,346.3557,2.682392681,Ferrous Iron,Oxygen,0.884775308,16.6522226,19.84750925,FALSE,"[ 325.2557  328.2494  329.8018  331.0187  333.1265  335.4484  336.9771
  338.9705  341.519   343.5166  346.7357  348.9573  350.529   353.5382]","[ 0.274752  0.29808   0.304128  0.400032  0.38016   0.648     2.05632
  2.28096   2.4624    2.36736   2.14272   1.88352   0.758592  0.234144]"
34,203,69,Acidianus brierleyi,schoolfield,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",Time To Double Fe3+ concentration,,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,0.852824065,0.738338134,2.94E-07,0.138055174,NA,NA,12.27293234,5.863777197,-17.39789445,8.335829579,341.7557,336.5557,349.0557,2.346052974,Ferrous Iron,Oxygen,0.963954418,10.55243016,15.02583147,TRUE,"[ 325.2557  328.2494  329.8018  331.0187  333.1265  335.4484  336.9771
  338.9705  341.519   343.5166  346.7357  348.9573  350.529   353.5382]","[ 0.274752  0.29808   0.304128  0.400032  0.38016   0.648     2.05632
  2.28096   2.4624    2.36736   2.14272   1.88352   0.758592  0.234144]"
