,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max.response,Slope,Intercept,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables,B0.max,B0.min,E.max,E.min,Tpk.max,Tpk.min,Response.max,Response.min,ED.max,ED.min,EDL.max,EDL.min,TH.max,TH.min,THL.max,THL.min,Slope.max,Slope.min,Intercept.max,Intercept.min,Temperature,Response,Original_Data
429_Sch_O_model_point_10,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.6430000000002,3.8919909943417178e-109,False
429_Sch_O_model_point_11,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.7430000000002,8.392632563369926e-108,False
429_Sch_O_model_point_12,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.84300000000025,1.805598556147249e-106,False
429_Sch_O_model_point_13,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.94300000000027,3.8756265795639165e-105,False
429_Sch_O_model_point_14,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.0430000000003,8.299683296408438e-104,False
429_Sch_O_model_point_15,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.1430000000003,1.7732955007735825e-102,False
429_Sch_O_model_point_16,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.24300000000034,3.780087275381183e-101,False
429_Sch_O_model_point_17,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.34300000000036,8.039421340366235e-100,False
429_Sch_O_model_point_18,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.4430000000004,1.7058904011374862e-98,False
429_Sch_O_model_point_19,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.5430000000004,3.6114528915150615e-97,False
429_Sch_O_model_point_20,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.6430000000004,7.628135459213269e-96,False
429_Sch_O_model_point_21,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.74300000000045,1.6075391958893872e-94,False
429_Sch_O_model_point_22,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.8430000000005,3.37996804176111e-93,False
429_Sch_O_model_point_23,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.9430000000005,7.09043011205107e-92,False
429_Sch_O_model_point_24,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.0430000000005,1.4840298771903557e-90,False
429_Sch_O_model_point_25,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.14300000000054,3.0990165598519626e-89,False
429_Sch_O_model_point_26,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.24300000000056,6.45680169257211e-88,False
429_Sch_O_model_point_27,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.3430000000006,1.342222165339114e-86,False
429_Sch_O_model_point_28,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.4430000000006,2.783850305710418e-85,False
429_Sch_O_model_point_29,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.54300000000063,5.760802274789727e-84,False
429_Sch_O_model_point_30,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.64300000000065,1.1894242331485845e-82,False
429_Sch_O_model_point_31,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.7430000000007,2.4502388385423104e-81,False
429_Sch_O_model_point_32,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.8430000000007,5.0361537536879636e-80,False
429_Sch_O_model_point_33,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.9430000000007,1.0327841499481321e-78,False
429_Sch_O_model_point_34,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.04300000000075,2.113203236314068e-77,False
429_Sch_O_model_point_35,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.14300000000077,4.3141494373996157e-76,False
429_Sch_O_model_point_36,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.2430000000008,8.787643093767672e-75,False
429_Sch_O_model_point_37,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.3430000000008,1.7859694891731513e-73,False
429_Sch_O_model_point_38,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.44300000000084,3.6216055821978825e-72,False
429_Sch_O_model_point_39,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.54300000000086,7.327483436210986e-71,False
429_Sch_O_model_point_40,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.6430000000009,1.4792317021232568e-69,False
429_Sch_O_model_point_41,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.7430000000009,2.9795200868295852e-68,False
429_Sch_O_model_point_42,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.8430000000009,5.988061672506733e-67,False
429_Sch_O_model_point_43,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.94300000000095,1.2007625347865868e-65,False
429_Sch_O_model_point_44,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.043000000001,2.4024811632456645e-64,False
429_Sch_O_model_point_45,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.143000000001,4.7961850441836676e-63,False
429_Sch_O_model_point_46,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.243000000001,9.553577347182248e-62,False
429_Sch_O_model_point_47,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.34300000000104,1.8987655683032015e-60,False
429_Sch_O_model_point_48,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.44300000000106,3.765416104205207e-59,False
429_Sch_O_model_point_49,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.5430000000011,7.450612565632977e-58,False
429_Sch_O_model_point_50,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.6430000000011,1.4709890275095733e-56,False
429_Sch_O_model_point_51,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.74300000000113,2.8977866225775635e-55,False
429_Sch_O_model_point_52,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.84300000000115,5.695921014330169e-54,False
429_Sch_O_model_point_53,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.9430000000012,1.1171285851590005e-52,False
429_Sch_O_model_point_54,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.0430000000012,2.1861758231471657e-51,False
429_Sch_O_model_point_55,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.1430000000012,4.268848957633519e-50,False
429_Sch_O_model_point_56,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.24300000000125,8.317280164946532e-49,False
429_Sch_O_model_point_57,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.34300000000127,1.6169544037682648e-47,False
429_Sch_O_model_point_58,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.4430000000013,3.1366147115390587e-46,False
429_Sch_O_model_point_59,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.5430000000013,6.071172776352309e-45,False
