,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max response,Slope,Intercept,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables
6_LM,Natrialbaceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.460960974821,-133.527793676,0.7414382591390736,-8.545537129488363,-7.170258721804197,1,False,6,2
15_BA,Nostocaceae,Boltzmann Arrhenius,Specific Growth Rate,-0.776242824184,0.0257450510354,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005520984753286218,-33.900672537654856,-30.706986719259746,2,False,11,2
15_LM,Nostocaceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00172123963373,-0.00918759319766,0.005947941378311612,-78.7486591682147,-75.55497334981959,1,False,11,2
16_BA,Oscillatoriaceae,Boltzmann Arrhenius,Specific Growth Rate,-1.74708138524,0.264536517142,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08584256762836373,-12.048502576910693,-10.210772129744754,2,False,7,2
16_LM,Oscillatoriaceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0184233596967,-5.03426801547,0.10531118039350816,-25.377220865701297,-23.539490418535358,1,False,7,2
17_BA,Phormidiaceae,Boltzmann Arrhenius,Specific Growth Rate,-1.35865365647,0.0524028487208,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005914581896583004,-96.1905234509084,-90.30301285289542,2,False,27,2
17_LM,Phormidiaceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00212745655662,-0.324548084296,0.005915411269161344,-223.5028402428765,-217.6153296448635,1,False,27,2
9_BA,Spiroplasmataceae,Boltzmann Arrhenius,Specific Growth Rate,-7.32358652584,2.05358667987,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502639663395099,140.66109060620667,147.7277289685485,2,False,40,2
9_LM,Spiroplasmataceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0368355557,-613.84015418,0.47019125670642675,-173.73980768010304,-166.67316931776122,1,False,40,2
11_BA,Sulfolobaceae,Boltzmann Arrhenius,Specific Growth Rate,-10.2602021198,1.14557334154,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7147705394396129,6.893499327091071,9.48517305909973,2,False,9,2
11_LM,Sulfolobaceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26958160215,-92.4863628357,0.5887348873074737,-20.543034923906035,-17.951361191897377,1,False,9,2
18_BA,Synechococcaceae,Boltzmann Arrhenius,Specific Growth Rate,-0.0351617799683,2.61163957127e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.29189786540951e-10,-8.452932272973765,-7.0776538652896,2,False,6,2
18_LM,Synechococcaceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0158789079798,5.70416167154,0.007909192646887329,-35.788934234222985,-34.41365582653882,1,False,6,2
7_BA,Thermaceae,Boltzmann Arrhenius,Specific Growth Rate,0.368653740863,0.314362706149,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06955261921211575,43.09654690909098,45.334871534130485,2,False,8,2
7_LM,Thermaceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.700798331026,-218.24740193,0.07820655724350839,-33.022746595258646,-30.78442197021914,1,False,8,2
14_BA,Thermoanaerobacteraceae,Boltzmann Arrhenius,Specific Growth Rate,-8.94363224963,1.29714330101,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609581625373383,24.58751242772978,26.825837052769288,2,False,8,2
14_LM,Thermoanaerobacteraceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00308039754,-333.330825785,0.5915999764385184,-16.834929037216313,-14.596604412176806,1,False,8,2
12_BA,Thermococcaceae,Boltzmann Arrhenius,Specific Growth Rate,1.81744776737,0.129899509709,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012702846195596251,80.79434891951773,84.71152090836351,2,False,14,2
12_LM,Thermococcaceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24704494707,-65.5514752807,0.011762576674002682,-95.14645419272571,-91.22928220387993,1,False,14,2
8_BA,Thermoproteaceae,Boltzmann Arrhenius,Specific Growth Rate,1.47940455334,1.05512709681e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.2689186347265604e-11,16.351467372163466,18.189197819329404,2,False,7,2
8_LM,Thermoproteaceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.100097094289,41.1435204271,0.06755047342130734,-28.485532486387775,-26.647802039221837,1,False,7,2
19_BA,,Boltzmann Arrhenius,Specific Growth Rate,-1.71023287675,0.601478428729,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5419376455628213,52.95390723732315,55.86166251630529,2,False,10,2
19_LM,,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.714310999439,-215.93570406,0.5256854620971273,-25.456373189042417,-22.54861791006028,1,False,10,2
