,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max response,Slope,Intercept,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables
17_LM,Cyanophyceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0096876530389,-2.43373335861,0.04297883112772341,-373.2189933629992,-365.3081176223428,1,False,53,2
8_BA,Deinococci,Boltzmann Arrhenius,Specific Growth Rate,2.07731888466,0.11679699073,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03652363037317652,51.04853865221965,53.956293931201785,2,False,10,2
8_LM,Deinococci,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.231980776949,-57.6774693845,0.03579794006338784,-52.32450020353856,-49.416744924556426,1,False,10,2
11_BA,Deltaproteobacteria,Boltzmann Arrhenius,Specific Growth Rate,-2.15536285877,0.522111137145,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9992728677919108,-24.292978626169585,-22.05465400113008,1,False,8,2
11_LM,Deltaproteobacteria,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27563171401,-79.6722318717,0.9290511505748786,-13.224264188332896,-10.985939563293389,2,False,8,2
4_BA,Gammaproteobacteria,Boltzmann Arrhenius,Specific Growth Rate,1.63382746025,0.252021097352,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16329027669217255,217.1084382077725,224.09912314616145,2,False,39,2
4_LM,Gammaproteobacteria,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54059520918,-148.169693364,0.18927773931354744,-203.79595727394832,-196.80527233555938,1,False,39,2
9_BA,Halobacteria,Boltzmann Arrhenius,Specific Growth Rate,-0.994012693442,0.580440279907,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7666458759606911,30.367396152943027,34.491546756249654,2,False,15,2
9_LM,Halobacteria,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.832077859702,-252.120753462,0.8817135686673879,-38.509073433480836,-34.384922830174204,1,False,15,2
14_BA,Methanobacteria,Boltzmann Arrhenius,Specific Growth Rate,-1.8414782961,0.422075085069,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7737387641965124,3.4139135665745153,4.242227303876816,2,False,5,2
14_LM,Methanobacteria,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.140819942601,-42.448885481,0.7231121664584,-5.66814420480376,-4.839830467501459,1,False,5,2
15_BA,Methanococci,Boltzmann Arrhenius,Specific Growth Rate,1.63379897433,0.175805517234,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6367485771807139,18.926646235411802,19.754959972714104,2,False,5,2
15_LM,Methanococci,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383505652762,-107.615299884,0.636571107174523,-6.305485318759885,-5.4771715814575845,1,False,5,2
16_BA,Methanomicrobia,Boltzmann Arrhenius,Specific Growth Rate,-4.78550944772,1.00441788466,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.982816979432817,-0.3046792411939583,0.5236344961083423,2,False,5,2
16_LM,Methanomicrobia,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223280204453,-64.8886624805,0.6339404068946117,-6.326191184156128,-5.497877446853828,1,False,5,2
10_BA,Mollicutes,Boltzmann Arrhenius,Specific Growth Rate,-7.32358652584,2.05358667987,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502639663395099,140.66109060620667,147.7277289685485,2,False,40,2
10_LM,Mollicutes,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0368355557,-613.84015418,0.47019125670642675,-173.73980768010304,-166.67316931776122,1,False,40,2
12_BA,Thermococci,Boltzmann Arrhenius,Specific Growth Rate,1.81744776737,0.129899509709,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012702846195596251,80.79434891951773,84.71152090836351,2,False,14,2
12_LM,Thermococci,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24704494707,-65.5514752807,0.011762576674002682,-95.14645419272571,-91.22928220387993,1,False,14,2
7_BA,Thermoprotei,Boltzmann Arrhenius,Specific Growth Rate,-1.01354949978,0.299711866181,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06261793691442885,129.63592759120007,135.7378150811595,2,False,29,2
7_LM,Thermoprotei,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.289677790191,-96.4150270979,0.08059648258409197,-166.68228692332121,-160.5803994333618,1,False,29,2
13_BA,Thermotogae,Boltzmann Arrhenius,Specific Growth Rate,2.98494659403,4.81492390403e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.981421245086608e-09,37.15220622348643,38.527484631170594,2,False,6,2
13_LM,Thermotogae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.200287196119,89.2829578794,0.010852869098589166,-33.89051162078172,-32.51523321309756,1,False,6,2
18_BA,,Boltzmann Arrhenius,Specific Growth Rate,-1.7948347203,0.557112954398,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49335490734361687,36.65245357124528,38.890778196284785,2,False,8,2
18_LM,,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.437028249371,-131.556215071,0.4798877361388968,-18.509157017271246,-16.27083239223174,1,False,8,2
