,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max.response,Slope,Intercept,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables,B0.max,B0.min,E.max,E.min,Tpk.max,Tpk.min,Response.max,Response.min,ED.max,ED.min,EDL.max,EDL.min,TH.max,TH.min,THL.max,THL.min,Slope.max,Slope.min,Intercept.max,Intercept.min,FinalID,OriginalID,Citation,Latitude,Longitude,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,OptimalConditions,Best_Guess
395_Sch_TF,Acetobacterium tundrae,schoolfield two factor,Specific Growth Rate,-3.186392353872219,1.409224259601288,300.376145043,34.23078898357067,NA,300.33,298.53,300.93,8.98637712287,NA,NA,0.9991327523104571,-28.38987891174518,-29.458407106145724,1,False,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395,142,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1
395_Sch_OS,Acetobacterium tundrae,schoolfield simple,Specific Growth Rate,-3.186392465033303,1.4092243125235129,NA,169.2470281791121,NA,NA,NA,NA,NA,NA,NA,0.9991327525727627,-28.38987891174481,-29.458407106145355,2,False,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395,142,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1
399_Sch_OS,Acetobacterium tundrae,schoolfield simple,Specific Growth Rate,-1.4645217303895386,0.6893226008720177,NA,0.4310604282951169,NA,NA,NA,NA,NA,NA,NA,0.9756128101254987,-24.768144968794473,-24.720955406623972,1,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,146,"2000, Maria V. Simankova and Oleg R. Kotsyurbenko and Erko Stackebrandt and Nadezhda A. Kostrikina and Anatoliy M. Lysenko and Georgiy A. Osipov and Alla N. Nozhevnikova, 'Acetobacterium tundrae sp. nov., a new psychrophilic acetogenic bacterium from tundra soil'. Archives of Microbiology, 174(6),pp440-447",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1
399_Sch_TF,Acetobacterium tundrae,schoolfield two factor,Specific Growth Rate,-1.65944993836693,0.5973698943292408,423.149128892,0.5989575947514557,NA,NA,NA,NA,NA,NA,NA,0.9750899383439304,-24.661529765623413,-24.61434020345291,2,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,146,"2000, Maria V. Simankova and Oleg R. Kotsyurbenko and Erko Stackebrandt and Nadezhda A. Kostrikina and Anatoliy M. Lysenko and Georgiy A. Osipov and Alla N. Nozhevnikova, 'Acetobacterium tundrae sp. nov., a new psychrophilic acetogenic bacterium from tundra soil'. Archives of Microbiology, 174(6),pp440-447",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1
396_Sch_TF,Acetobacterium z-4092,schoolfield two factor,Specific Growth Rate,0.048157671986144755,0.5260314641169891,313.588093386,9.272361904651,NA,NA,NA,NA,NA,NA,NA,0.9845201170184612,-10.089274838314736,-10.042085276144235,1,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396,143,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
396_Sch_OS,Acetobacterium z-4092,schoolfield simple,Specific Growth Rate,0.04815771577559976,0.5260314467612104,NA,6.577130058260466,NA,NA,NA,NA,NA,NA,NA,0.9845201170882224,-10.089274838218806,-10.042085276048304,2,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396,143,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
398_Sch_OS,Acetobacterium z-4290,schoolfield simple,Specific Growth Rate,-1.3266317019425669,0.6426907136397628,NA,27.57775619222771,NA,302.607,298.807,303.507,3.6985002429,NA,NA,0.9927393005588258,-24.72502217437203,-22.995471429095463,1,False,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398,145,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
398_Sch_TF,Acetobacterium z-4290,schoolfield two factor,Specific Growth Rate,-1.326631702804411,0.6426907136683288,302.628693114,30.937556565506394,NA,302.607,298.907,303.407,3.71040450917,NA,NA,0.9927394782574823,-24.725021829482266,-22.9954710842057,2,False,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398,145,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
398_Sch_O,Acetobacterium z-4290,schoolfield,Specific Growth Rate,-0.6335274403310652,0.642706447986405,NA,20.245941157760072,-8.75911639553e-07,302.607,298.707,303.707,3.66561972168,NA,NA,0.9927393890149815,-20.72501573966828,-19.103644696281087,3,False,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398,145,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
397_Sch_TF,Acetobacterium z-4391,schoolfield two factor,Specific Growth Rate,0.5595275384310402,0.16916733341229595,378.575722782,3.0719264561409414,NA,NA,NA,NA,NA,NA,NA,0.978208973697694,-20.83353290993105,-20.78634334776055,1,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397,144,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
397_Sch_OS,Acetobacterium z-4391,schoolfield simple,Specific Growth Rate,1.252165987223518,0.16924636554847194,NA,0.0001588224486015477,NA,NA,NA,NA,NA,NA,NA,0.9782089401702949,-20.833532012513935,-20.786342450343433,2,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397,144,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
68_Sch_OS,Acidianus brierleyi,schoolfield simple,Time To Increase SO4 to 3000mg/L,-7.820945052658361,0.6669469747596972,NA,3.43014393924667,NA,349.4493,342.0493,354.7493,0.157192693282,NA,NA,0.973502462700235,-178.84731772746804,-172.12512283163585,1,False,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,Franzman_2005_A_brierleyi,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",44.42,-110.58,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
68_Sch_TF,Acidianus brierleyi,schoolfield two factor,Time To Increase SO4 to 3000mg/L,-7.820955482766089,0.6669483837611164,349.483653276,3.430124824708435,NA,349.4493,342.0493,354.7493,0.157192623165,NA,NA,0.9735024606979772,-178.84731771896358,-172.1251228231314,2,False,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,Franzman_2005_A_brierleyi,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",44.42,-110.58,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
68_Sch_O,Acidianus brierleyi,schoolfield,Time To Increase SO4 to 3000mg/L,-1.5631124963634333,2.2082170203496787e-08,NA,30.841129626712203,-0.971575480404,354.4493,343.9493,355.8493,0.164551143051,NA,NA,0.9771638459333839,-177.69700770042525,-169.08593484626016,3,False,19,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,Franzman_2005_A_brierleyi,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",44.42,-110.58,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
69_Sch_O,Acidianus brierleyi,schoolfield,Time To Double Fe3+ concentration,0.8528298683236651,3.339957754810996e-09,NA,12.271134432599071,-17.3974139002,341.7557,336.5557,349.0557,2.34606055998,NA,NA,0.9639547271048359,-31.17784878700253,-24.704447479695723,1,False,14,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,Franzman_2005_A_brierleyi_2,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
69_Sch_TF,Acidianus brierleyi,schoolfield two factor,Time To Double Fe3+ concentration,-17.498001164364858,2.2395078418073777,342.448999565,4.196546095515303,NA,342.4557,338.7557,346.3557,2.68238419939,NA,NA,0.884774411422654,-25.0780565350082,-19.88276988693191,2,False,14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,Franzman_2005_A_brierleyi_2,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
69_Sch_OS,Acidianus brierleyi,schoolfield simple,Time To Double Fe3+ concentration,-17.491535510902665,2.2386797373905,NA,4.196425421740142,NA,342.4557,338.7557,346.3557,2.68239188665,NA,NA,0.884775231095535,-25.078056449393436,-19.882769801317146,3,False,14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,Franzman_2005_A_brierleyi_2,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304?1314)",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
328_Sch_TF,Acidianus brierleyi,schoolfield two factor,Sulphur Oxidation Rate,-7.854684316962704,0.6715833682450075,349.414500635,3.373628961419393,NA,349.389,341.889,354.689,0.15705052305,NA,NA,0.9738997054957678,-179.30308049071746,-172.58088559488527,1,False,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,75,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
328_Sch_OS,Acidianus brierleyi,schoolfield simple,Sulphur Oxidation Rate,-7.854715252752727,0.671587518186676,NA,3.3735832361969686,NA,349.389,341.889,354.689,0.157050391289,NA,NA,0.9738996984588685,-179.30308046643503,-172.58088557060285,2,False,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,75,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
328_Sch_O,Acidianus brierleyi,schoolfield,Sulphur Oxidation Rate,-1.5781416024888353,1.0073123446474597e-09,NA,46.1461677969297,-0.980534690811,354.889,344.089,355.989,0.165447857807,NA,NA,0.9770669502370709,-177.7791082019854,-169.1680353478203,3,False,19,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,75,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
333_Sch_O,Acidianus brierleyi,schoolfield,Fe3+ Oxidation Rate,0.8558352497978302,1.0147610529642748e-09,NA,10.872722028631104,-18.2755986325,341.2823,336.5823,348.9823,2.35298136219,NA,NA,0.9639708439378217,-31.24050973847406,-24.76710843116725,1,False,14,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,80,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
333_Sch_OS,Acidianus brierleyi,schoolfield simple,Fe3+ Oxidation Rate,-16.680880329783577,2.1320715089670856,NA,4.182222521914558,NA,342.6823,338.8823,346.5823,2.67566355491,NA,NA,0.8821777491175182,-24.817644430960577,-19.622357782884286,2,False,14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,80,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
333_Sch_TF,Acidianus brierleyi,schoolfield two factor,Fe3+ Oxidation Rate,-16.689721450294464,2.1332047498365436,342.70267028,4.182188737835888,NA,342.6823,338.8823,346.5823,2.67562198993,NA,NA,0.8821764245253642,-24.817644117798707,-19.622357469722417,3,False,14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,80,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
228_Sch_TF,Acidianus infernus,schoolfield two factor,Specific Growth Rate,-8.74275890485728,1.1400408774029618,365.251916261,1.5438278425904284,NA,365.2735,353.7735,381.5735,8.37568625733,NA,NA,0.9844145656367068,-5.710908932096565,-4.752111585956291,1,False,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,Segerer_1986_A_infernus,"Segerer, A. et al 1986, 'Acidianus infernus gen. nov. sp. nov. and Acidianus brierleyi comb. nov. : Facultatively Aerobic, Extremely Acidophilic Thermophilic Sulfur-Metabolizing Archaebacteria' INTERNATIONAL JOURNAL OF SYSTEMATIC BACTERIOLOGY 36 (559-564) ",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,infernus,True,C19
228_Sch_OS,Acidianus infernus,schoolfield simple,Specific Growth Rate,-7.070179608251241,0.9399768284870889,NA,1.7063995758433386,NA,364.5735,354.3735,375.8735,8.47287019153,NA,NA,0.9836661452797173,-5.421489609195323,-4.4626922630550485,2,False,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,Segerer_1986_A_infernus,"Segerer, A. et al 1986, 'Acidianus infernus gen. nov. sp. nov. and Acidianus brierleyi comb. nov. : Facultatively Aerobic, Extremely Acidophilic Thermophilic Sulfur-Metabolizing Archaebacteria' INTERNATIONAL JOURNAL OF SYSTEMATIC BACTERIOLOGY 36 (559-564) ",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,infernus,True,C19
